6	1	0.00255754475703
10	1	0.00255754475703
12	12	0.0306905370844
18	4	0.0102301790281
20	1	0.00255754475703
24	75	0.191815856777
25	1	0.00255754475703
30	5	0.0127877237852
32	1	0.00255754475703
36	177	0.452685421995
37	1	0.00255754475703
40	2	0.00511508951407
42	1	0.00255754475703
48	36	0.0920716112532
50	2	0.00511508951407
60	60	0.153452685422
66	1	0.00255754475703
70	1	0.00255754475703
72	3	0.0076726342711
80	1	0.00255754475703
84	1	0.00255754475703
90	3	0.0076726342711
96	1	0.00255754475703

The mean is: 38.6189258312
