1500	1
2000	5
3000	4
4000	7
5000	12
6000	2
6500	1
7000	9
7500	1
8000	9
9000	1
10000	31
11000	1
12000	2
13000	1
15000	22
18000	1
20000	23
22000	1
25000	2
30000	22
40000	2
48000	1
50000	5
90000	1
400	1
500	1
600	1
2000	7
2500	1
3000	3
4000	1
5000	9
6000	1
7000	1
8000	4
10000	17
12000	1
13000	1
15000	6
20000	10
30000	8
50000	3
1500	1
1800	1
2500	1
3000	3
3500	2
4000	8
4500	1
5000	14
5500	2
6000	9
7000	8
8000	24
8500	1
9000	1
10000	12
11000	1
12000	6
15000	9
20000	12
30000	1
40000	2
50000	1
1000	1
2000	2
5000	2
7000	2
7500	1
8000	2
10000	8
15000	1
20000	7
27000	1
30000	1
40000	1
50000	1
