400	1	0.00254452926209
500	1	0.00254452926209
600	1	0.00254452926209
1000	1	0.00254452926209
1500	2	0.00508905852417
1800	1	0.00254452926209
2000	14	0.0356234096692
2500	2	0.00508905852417
3000	10	0.0254452926209
3500	2	0.00508905852417
4000	16	0.0407124681934
4500	1	0.00254452926209
5000	37	0.0941475826972
5500	2	0.00508905852417
6000	12	0.030534351145
6500	1	0.00254452926209
7000	20	0.0508905852417
7500	2	0.00508905852417
8000	39	0.0992366412214
8500	1	0.00254452926209
9000	2	0.00508905852417
10000	68	0.173027989822
11000	2	0.00508905852417
12000	9	0.0229007633588
13000	2	0.00508905852417
15000	38	0.0966921119593
18000	1	0.00254452926209
20000	52	0.132315521628
22000	1	0.00254452926209
25000	2	0.00508905852417
27000	1	0.00254452926209
30000	32	0.0814249363868
40000	5	0.0127226463104
48000	1	0.00254452926209
50000	10	0.0254452926209
90000	1	0.00254452926209

The mean is: 13421.8829517
